ID,Nombre,Entidad,Red,Longitud,Latitud,Precip
15059,MOLINO BLANCO,MEXICO,CLICOM,"-99,22083","19,4775","717,4021739"
9025,HACIENDA LA PATERA,CIUDAD DE MEXICO,CLICOM,"-99,1583","19,51278","537,2541667"
15092,SAN JUAN IXHUATEPEC,MEXICO,CLICOM,"-99,11444","19,52167","512,409375"
9021,EGIPTO 7,CIUDAD DE MEXICO,CLICOM,"-99,1861",19475,"646,4285714"
9012,COLONIA ESCANDON,CIUDAD DE MEXICO,CLICOM,"-99,1772","19,40139","623,8285714"
9029,GRAN CANAL KM 06 250,CIUDAD DE MEXICO,CLICOM,"-99,0914","19,47667","501,03"
9003,AQUILES SERDAN 46,CIUDAD DE MEXICO,CLICOM,"-99,19","19,46944","579,5702128"
9033,COLONIA GUERRERO,CIUDAD DE MEXICO,CLICOM,"-99,13333","19,45","686,073913"
9028,GRAN CANAL KM 03 000,CIUDAD DE MEXICO,CLICOM,"-99,1","19,45",563364
9043,SAN JUAN DE ARAGON,CIUDAD DE MEXICO,CLICOM,"-99,0792","19,46528","493,59"
9010,COLONIA AMERICA,CIUDAD DE MEXICO,CLICOM,"-99,2017","19,4125","792,4864706"
9015,RODANO 14 (CFE),CIUDAD DE MEXICO,CLICOM,"-99,1736",19425,"529,7"
9071,COLONIA EDUCACION,CIUDAD DE MEXICO,CLICOM,"-99,1322","19,33389","594,4296296"
9036,PLAYA CALETA 454 COLONIA MARTE,CIUDAD DE MEXICO,CLICOM,"-99,0978","19,39528","641,2783784"
9009,COLONIA AGRICOLA ORIENTAL,CIUDAD DE MEXICO,CLICOM,-99075,"19,39944","453,1434783"
9054,GENERAL ANAYA,CIUDAD DE MEXICO,CLICOM,"-99,1667","19,36667","662,9882353"
9026,MORELOS 77,CIUDAD DE MEXICO,CLICOM,"-99,0833","19,36667","494,1085714"
9007,CINCEL 42,CIUDAD DE MEXICO,CLICOM,"-99,1167","19,41667","508,3939394"
15018,COLONIA MANUEL A CAMACHO,MEXICO,CLICOM,"-98,76528",19325,"562,6771429"
15082,RIO FRIO,MEXICO,CLICOM,"-98,66972","19,3525","736,7409091"
15050,LOS REYES,MEXICO,CLICOM,"-98,99167","19,35778",455576
15017,COATEPEC DE LOS OLIVOS,MEXICO,CLICOM,"-99,9175","19,86167","507,7710526"
15145,PLAN LAGO DE TEXCOCO,MEXICO,CLICOM,"-98,93167","19,45056",457918
15170,CHAPINGO (DGE),MEXICO,CLICOM,"-98,88639","19,48472","478,0388889"
15083,SAN ANDRES,MEXICO,CLICOM,"-98,91056","19,53194","455,9022222"
15125,TEXCOCO (DGE),MEXICO,CLICOM,"-98,88194","19,50556","459,706746"
15101,SAN MIGUEL TLAIXPAN,MEXICO,CLICOM,"-98,8125","19,51944","474,47675"
15210,SAN JUAN TOTOLAPAN,MEXICO,CLICOM,"-98,72667","19,52972","423,8903846"
15044,LA GRANDE,MEXICO,CLICOM,"-98,91389","19,57611","467,01"
15008,ATENCO,MEXICO,CLICOM,"-98,91278","19,54389","465,1837778"
15124,TEPEXPAN,MEXICO,CLICOM,"-98,92167","19,61139","466,00625"
15022,CHICONAUTLA,MEXICO,CLICOM,"-99,01722","19,65667","480,8477143"
15065,OTUMBA,MEXICO,CLICOM,"-98,75833","19,7","386,9375"
15090,SAN JERONIMO XONOCAHUACAN,MEXICO,CLICOM,"-98,94944","19,75083","459,3333333"
13006,CIUDAD SAHAGUN,HIDALGO,CLICOM,"-98,58056","19,77167","360,76"
15055,MAQUIXCO,MEXICO,CLICOM,"-98,83222","19,78417","448,3372093"
13047,TEZONTEPEC (DGE),HIDALGO,CLICOM,"-99,26667","20,2",366
9014,COLONIA SANTA URSULA COAPA,CIUDAD DE MEXICO,CLICOM,"-99,0833","19,36667","685,9351351"
9037,PRESA ANSALDO,CIUDAD DE MEXICO,CLICOM,"-99,2167","19,33333","776,5257143"
9004,CALVARIO 61,CIUDAD DE MEXICO,CLICOM,"-99,1492","19,20306","769,6774194"
9034,MOYOGUARDA,CIUDAD DE MEXICO,CLICOM,"-99,1","19,25","638,4483871"
9042,SAN GREGORIO ATLAPULCO,CIUDAD DE MEXICO,CLICOM,"-99,0833","19,21667","628,552381"
9041,SAN FRANCISCO TLALNEPANTLA,CIUDAD DE MEXICO,CLICOM,"-99,1286","19,19667","812,1421053"
9002,AJUSCO,CIUDAD DE MEXICO,CLICOM,"-99,2","19,21667",1000405
9044,SAN LORENZO,CIUDAD DE MEXICO,CLICOM,"-99,0311",19175,"616,3"
9022,EL GUARDA,CIUDAD DE MEXICO,CLICOM,"-99,1731","19,13444","1048,9"
9020,DESVIACION ALTA AL PEDREGAL,CIUDAD DE MEXICO,CLICOM,"-99,1822","19,29694","888,1074074"
15111,SANTA MARIA NATIVITAS,MEXICO,CLICOM,"-99,58333","19,58333","760,2153846"
15114,SANTIAGO TLAZALA,MEXICO,CLICOM,"-99,41389","19,55806","1068,273889"
15095,SAN LUIS AYUCAN,MEXICO,CLICOM,"-99,36778","19,49528","1025,8925"
15047,LAS ARBOLEDAS,MEXICO,CLICOM,"-99,21583","19,56278","686,6570175"
15075,PRESA LAS RUINAS,MEXICO,CLICOM,"-99,27833","19,58111","697,1878049"
15098,SAN MARTIN OBISPO,MEXICO,CLICOM,"-99,19278","19,62167","568,1512195"
15073,PRESA GUADALUPE,MEXICO,CLICOM,"-99,28222","19,62333","595,7844444"
15071,PRESA EL TIGRE,MEXICO,CLICOM,"-99,68639","19,78028",660008
15074,PRESA LA CONCEPCION,MEXICO,CLICOM,"-99,30167",19695,"597,9648837"
15115,SANTO TOMAS PUENTE COLGANTE,MEXICO,CLICOM,"-99,16694","19,77472","492,8463415"
15032,HUEHUETOCA,MEXICO,CLICOM,"-99,2125","19,84861","509,521875"
13089,TEPEJI DEL RIO,HIDALGO,CLICOM,"-99,33667","19,89778","542,1164815"
15029,EL TEJOCOTE,MEXICO,CLICOM,-99555,"19,88583","666,4662237"
15024,PRESA DANXHO,MEXICO,CLICOM,"-98,73833","19,08361","735,562807"
15103,SAN PEDRO NEXAPA,MEXICO,CLICOM,"-98,88472","19,08694","674,3604762"
15039,JUCHITEPEC,MEXICO,CLICOM,"-98,77222","19,14056","602,7666667"
15007,AMECAMECA DE JUAREZ (DGE),MEXICO,CLICOM,"-99,0028","19,17889","728,4724138"
9045,SANTA ANA TLACOTENCO,CIUDAD DE MEXICO,CLICOM,-99,"19,17888","579,1382353"
15094,SAN LUIS AMECA,MEXICO,CLICOM,"-99,0219","19,19056","538,5513514"
9032,MILPA ALTA,CIUDAD DE MEXICO,CLICOM,"-99,0311",19175,"583,9541667"
15106,SAN RAFAEL,MEXICO,CLICOM,"-99,0833","19,21667","875,2325"
15020,CHALCO-SAN LUCAS,MEXICO,CLICOM,"-98,76528",19325,492725
15045,LA MARQUESA,MEXICO,CLICOM,"-99,36861","19,29861","1071,981143"
15027,EL SALITRE,MEXICO,CLICOM,"-99,3","19,5","695,0461538"
15127,TOTOLICA SAN BARTOLO,MEXICO,CLICOM,"-99,24556","19,46556","717,5155556"
15147,SAN BARTOLOME,MEXICO,CLICOM,"-99,31111","19,39833",993215
15077,PRESA TOTOLICA,MEXICO,CLICOM,"-99,28361","19,45278","838,1147619"
15058,MOLINITO,MEXICO,CLICOM,"-99,23833","19,45361","754,2292683"
9039,PRESA TACUBAYA,CIUDAD DE MEXICO,CLICOM,"-99,2125","19,39722","677,8354839"
15013,CALACOAYA,MEXICO,CLICOM,"-99,23944","19,53417","712,4297368"
15033,HUIXQUILUCAN,MEXICO,CLICOM,"-99,35083","19,36111","958,8851852"
9038,PRESA MIXCOAC,CIUDAD DE MEXICO,CLICOM,"-99,2667","19,36667","800,7290323"
9030,LA VENTA CUAJIMALPA,CIUDAD DE MEXICO,CLICOM,"-99,3","19,33333","1107,75"
9019,DESIERTO DE LOS LEONES,CIUDAD DE MEXICO,CLICOM,"-99,3097","19,31389",1117816
15053,MAGDALENA CHICHICASPA,MEXICO,CLICOM,"-99,32278","19,41806","935,2892857"
15129,TULTEPEC,MEXICO,CLICOM,"-99,12667","19,68417","510,2802632"
15041,GRAN CANAL KM 27 250,MEXICO,CLICOM,"-99,01944","19,56167","496,41625"
15099,SAN MATEO ACUITLAPILCO,MEXICO,CLICOM,"-99,04389","19,76333","485,0677419"
15042,GRAN CANAL KM 46 930,MEXICO,CLICOM,"-99,1","19,8","471,2928571"
15028,EL TAJO-TUNEL VIEJO,MEXICO,CLICOM,"-99,12639","19,90861","548,5315789"
15096,SAN MARCOS JILOTZINGO,MEXICO,CLICOM,"-99,05","19,86667","455,8045455"
13008,EL MANANTIAL,HIDALGO,CLICOM,"-98,93639","19,85167","412,8064516"
TACH,TANQUE CHALMITAÂ ,CIUDAD DE MEXICO,SACMEX,"-99,1455",19556,"527,1968889"
REME,REMEDIOS,CIUDAD DE MEXICO,SACMEX,"-99,1554",19515,"477,4260714"
LIVI,LINDAVISTA,CIUDAD DE MEXICO,SACMEX,"-99,1209","19,49","495,3908571"
COYO,COYOL,CIUDAD DE MEXICO,SACMEX,"-99,0901","19,4847","469,7111429"
GENE,GENERADORA 101,CIUDAD DE MEXICO,SACMEX,"-99,0991","19,4588","480,3727143"
ROSA,ROSARIO,CIUDAD DE MEXICO,SACMEX,"-99,1909","19,51","581,7175"
CAME,CAMPAMENTO MECOAYA,CIUDAD DE MEXICO,SACMEX,"-99,1829","19,4869","562,8675556"
SAMA,NUEVA SANTA MARIA,CIUDAD DE MEXICO,SACMEX,"-99,1655","19,4694",546822
SAJO,TQUE SAN JOAQUIN,CIUDAD DE MEXICO,SACMEX,"-99,2283","19,4369","731,9581538"
TIZO,P B TIZOC,CIUDAD DE MEXICO,SACMEX,"-99,1707","19,4396",634466
GDFF,GDF,CIUDAD DE MEXICO,SACMEX,"-99,1327","19,4315","551,5857143"
MACA,MARCOS CARRILLO,CIUDAD DE MEXICO,SACMEX,-99134,"19,4034","585,4427857"
LOMA,LOPEZ MATEOS,CIUDAD DE MEXICO,SACMEX,"-99,0692","19,4211","413,9247143"
CHLA,CHURUBUSCO LAGO,CIUDAD DE MEXICO,SACMEX,"-99,0474","19,4422","413,0877857"
TRIA,TRIANGULO,CIUDAD DE MEXICO,SACMEX,"-99,2183","19,3973","745,7782857"
SAFE,SANTA FE,CIUDAD DE MEXICO,SACMEX,"-99,2653","19,3623","841,72696"
TALI,TANQUE LIENZO,CIUDAD DE MEXICO,SACMEX,"-99,2209","19,3378","673,6934286"
CEUN,CENTRO UNIVERSIDAD,CIUDAD DE MEXICO,SACMEX,"-99,1812","19,3478","680,9101429"
RADI,RADIOCOMUNICACION,CIUDAD DE MEXICO,SACMEX,"-99,1678","19,3994","623,8815556"
MULI,MUNICIPIO LIBRE,CIUDAD DE MEXICO,SACMEX,"-99,1277","19,3657","562,8285714"
TACA,TANQUE EL CARTERO,CIUDAD DE MEXICO,SACMEX,"-99,2712","19,3739","914,2766154"
LAVE,LA VENTA,CIUDAD DE MEXICO,SACMEX,"-99,3109","19,3335","971,9809231"
ELZA,EL ZARCO,MEXICO,SACMEX,"-99,3529","19,2954","932,1487143"
SAFA,SAN FRANCISCO,CIUDAD DE MEXICO,SACMEX,"-99,2392","19,3118","820,9102857"
RIMA,RIO MAGDALENA,CIUDAD DE MEXICO,SACMEX,"-99,2646","19,2888","987,3544286"
MOAL,MONTE ALEGRE,CIUDAD DE MEXICO,SACMEX,"-99,2802","19,2299","961,0397692"
PLXO,PLANTA XOTEPINGO,CIUDAD DE MEXICO,SACMEX,"-99,1446","19,3329","559,7666667"
ACUL,ACULCO,CIUDAD DE MEXICO,SACMEX,"-99,0998","19,3792","508,5541429"
UNEJ,UNIDAD EJERCITO DE OTE,CIUDAD DE MEXICO,SACMEX,"-99,0372","19,3797","407,8836"
CEES,PTA CERRO DE LA ESTRELLA,CIUDAD DE MEXICO,SACMEX,"-99,0773","19,3372","489,3756429"
LACA,LA CALDERA,MEXICO,SACMEX,"-98,9751","19,3394","401,9061538"
SACA,P T SANTA CATARINA,CIUDAD DE MEXICO,SACMEX,"-99,0264","19,3018","427,0887857"
TLAH,TLAHUAC,CIUDAD DE MEXICO,SACMEX,"-99,0129","19,2829","449,1808571"
BOTL,BOSQUE DE TLALPAN,CIUDAD DE MEXICO,SACMEX,"-99,1952","19,2925","635,5910714"
VICO,VILLA COAPA,CIUDAD DE MEXICO,SACMEX,"-99,1266","19,2865","579,9823333"
SAPE,SAN PEDRO MARTIR,CIUDAD DE MEXICO,SACMEX,"-99,1701",19263,"662,6023846"
AJUS,AJUSCO,CIUDAD DE MEXICO,SACMEX,"-99,2107","19,2192","912,2962222"
TOPI,TOPILEJO,CIUDAD DE MEXICO,SACMEX,"-99,1305","19,2034","661,0733077"
CAFO,CASETA FORESTAL (PARREZ),CIUDAD DE MEXICO,SACMEX,"-99,1716","19,1373","880,0896923"
GAVM,OF GAVM SUR,CIUDAD DE MEXICO,SACMEX,"-99,0987","19,3184","527,6870769"
PLNA,PLANTA NATIVITAS,CIUDAD DE MEXICO,SACMEX,"-99,0904","19,2471","541,8294615"
MILP,MILPA ALTA,CIUDAD DE MEXICO,SACMEX,"-99,0274","19,1872","511,44688"
BARR,BARRIENTOS,MEXICO,SACMEX,"-99,1848",19581,"532,6221667"
VASO,VASO DE CRISTO,MEXICO,SACMEX,"-99,2137",19511,"583,6841429"
CHI2,CHICONAHUTLA II,MEXICO,SACMEX,"-99,1084","19,5157","497,0673333"
PALM,PALMAS,MEXICO,SACMEX,-99255,"19,43","760,4596"
ELVE,EL VENADO,MEXICO,SACMEX,"-99,3345","19,3837","907,8137692"
